"legislature","url","name","born","sex","constituency","party","committee","photo","nyears"
10,"http://dati.camera.it/ocd/deputato.rdf/d23280_10","FRANCESCO DE CARLI",1937,"M","Udine","PARTITO SOCIALISTA ITALIANO","IV COMMISSIONE (DIFESA);VI COMMISSIONE (FINANZE)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23280&legislatura=10",4
9,"http://dati.camera.it/ocd/deputato.rdf/d23280_9","FRANCESCO DE CARLI",1937,"M","Udine","PARTITO SOCIALISTA ITALIANO","II COMMISSIONE (AFFARI DELLA PRESIDENZA DEL CONSIGLIO - AFFARI INTERNI E DI CULTO - ENTI PUBBLICI);VII COMMISSIONE (DIFESA);XI COMMISSIONE (AGRICOLTURA E FORESTE);DELEGAZIONE PARLAMENTARE ITALIANA ALL'ASSEMBLEA DELL'ATLANTICO DEL NORD","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23280&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23290_10","PAOLO DEL MESE",1946,"M","Benevento","DEMOCRATICO CRISTIANO","II COMMISSIONE (GIUSTIZIA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23290&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23290_11","PAOLO DEL MESE",1946,"M","Benevento","DEMOCRATICO CRISTIANO - PARTITO POPOLARE ITALIANO","COMMISSIONE PARLAMENTARE PER L'INDIRIZZO GENERALE E LA VIGILANZA DEI SERVIZI RADIOTELEVISIVI;II COMMISSIONE (GIUSTIZIA);VIII COMMISSIONE (AMBIENTE, TERRITORIO E LAVORI PUBBLICI);IX COMMISSIONE (TRASPORTI, POSTE E TELECOMUNICAZIONI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23290&legislatura=11",9
15,"http://dati.camera.it/ocd/deputato.rdf/d23290_15","PAOLO DEL MESE",1946,"M","Campania","POPOLARI-UDEUR","VI COMMISSIONE (FINANZE);CONFERENZA DEI PRESIDENTI DELLE COMMISSIONI PERMANENTI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23290&legislatura=15",12
9,"http://dati.camera.it/ocd/deputato.rdf/d23290_9","PAOLO DEL MESE",1946,"M","Benevento","DEMOCRAZIA CRISTIANA","IV COMMISSIONE (GIUSTIZIA);XIV COMMISSIONE (IGIENE  E SANITÃ PUBBLICA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23290&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23300_10","FRANCESCO DE LORENZO",1938,"M","Napoli","PARTITO LIBERALE ITALIANO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);VII COMMISSIONE (CULTURA, SCIENZA E ISTRUZIONE);VIII COMMISSIONE (AMBIENTE, TERRITORIO E LAVORI PUBBLICI);COMMISSIONE PARLAMENTARE PER L'INDIRIZZO GENERALE E LA VIGILANZA DEI SERVIZI RADIOTELEVISIVI;COMMISSIONE PARLAMENTARE D'INCHIESTA SUL FENOMENO DELLA MAFIA E SULLE ALTRE ASSOCIAZIONI CRIMINALI SIMILARI;SOTTOCOMMISSIONE PERMANENTE PER L'ACCESSO;SOTTOCOMMISSIONE RAI PER LA PUBBLICITA' E PER I CRITERI DI SPESA;SOTTOCOMMISSIONE RAI PER LE TRIBUNE;SOTTOCOMMISSIONE RAI PER GLI INDIRIZZI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23300&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23300_11","FRANCESCO DE LORENZO",1938,"M","Napoli","PARTITO LIBERALE ITALIANO","VIII COMMISSIONE (AMBIENTE, TERRITORIO E LAVORI PUBBLICI);XII COMMISSIONE (AFFARI SOCIALI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23300&legislatura=11",9
9,"http://dati.camera.it/ocd/deputato.rdf/d23300_9","FRANCESCO DE LORENZO",1938,"M","Napoli","PARTITO LIBERALE ITALIANO","IX COMMISSIONE (LAVORI PUBBLICI);XIV COMMISSIONE (IGIENE  E SANITÃ PUBBLICA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23300&legislatura=9",0
5,"http://dati.camera.it/ocd/deputato.rdf/d2330_5","MARCELLO DI PUCCIO",1919,"M","Pisa","PARTITO COMUNISTA ITALIANO","XII COMMISSIONE INDUSTRIA E COMMERCIO, ARTIGIANATO, COMMERCIO ESTERO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=2330&legislatura=5",0
